Stage                                       Time (us)    % Total
-----                                       ---------    -------
1) Gaussian (padded)                          3221.52      32.8%
2) Sobel gradient                             4310.64      43.9%
3) Magnitude (L1)                              788.00       8.0%
4) Direction                                   346.08       3.5%
5) Non-Maximum Suppression                     623.84       6.3%
6) Double Thresholding                         143.60       1.5%
7) Hysteresis                                  396.03       4.0%
TOTAL                                         9829.70     100.0%
